Year,Année,ISO,Jurisdiction,Juridiction,Insect species,Insecte espèce,Defoliated area (hectares),Data qualifier,Superficie défoliée (en hectare),Qualificatifs de données
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Gypsy moth,Spongieuse,,u,,u
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Balsam fir sawfly,Diprion du sapin,,u,,u
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Swaine jack pine sawfly,Diprion de Swaine,,u,,u
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Bruce spanworm,Arpenteuse de Bruce,,u,,u
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Western spruce budworm,"Tordeuse occidentale de l'épinette",,n,,n
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,,n,,n
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Spruce beetle,"Dendroctone de l'épinette",,u,,u
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Other,Autres,0,a,0,a
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce budworm,"Tordeuse des bourgeons de l'épinette",1930000,a,1930000,a
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Jack pine budworm,Tordeuse du pin gris,,n,,n
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Mountain pine beetle,Dendroctone du pin ponderosa,,n,,n
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Hemlock looper,Arpenteuse de la pruche,,u,,u
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Gypsy moth,Spongieuse,,n,,n
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",,u,,u
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Balsam fir sawfly,Diprion du sapin,,u,,u
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Swaine jack pine sawfly,Diprion de Swaine,,n,,n
